Ticker,Name,Industry
5222.TW,全訊,半導體業
5225.TW,東科-KY,其他電子業
5234.TW,達興材料,光電業
5243.TW,乙盛-KY,光電業
5244.TW,弘凱,光電業
5258.TW,虹堡,電腦及週邊設備業
5269.TW,祥碩,半導體業
5283.TW,禾聯碩,電器電纜
5284.TW,jpp-KY,其他業
5285.TW,界霖,半導體業
5288.TW,豐祥-KY,電機機械
5292.TW,華懋,綠能環保
5306.TW,桂盟,運動休閒
5388.TW,中磊,通信網路業
5434.TW,崇越,電子通路業
5469.TW,瀚宇博,電子零組件業
5471.TW,松翰,半導體業
5484.TW,慧友,光電業
5515.TW,建國,建材營造業
5519.TW,隆大,建材營造業
5521.TW,工信,建材營造業
5522.TW,遠雄,建材營造業
5525.TW,順天,建材營造業
5531.TW,鄉林,建材營造業
5533.TW,皇鼎,建材營造業
5534.TW,長虹,建材營造業
5538.TW,東明-KY,鋼鐵工業
5546.TW,永固-KY,建材營造業
5607.TW,遠雄港,航運業
5608.TW,四維航,航運業
5706.TW,鳳凰,觀光餐旅
5871.TW,中租-KY,其他業
5876.TW,上海商銀,金融保險業
5880.TW,合庫金,金融保險業
5906.TW,台南-KY,貿易百貨業
5907.TW,大洋-KY,貿易百貨業
6005.TW,群益證,金融保險業
6024.TW,群益期,金融保險業
6108.TW,競國,電子零組件業
6112.TW,邁達特,資訊服務業
6115.TW,鎰勝,電子零組件業
6116.TW,彩晶,光電業
6117.TW,迎廣,電腦及週邊設備業
6120.TW,達運,光電業
6128.TW,上福,電腦及週邊設備業
6133.TW,金橋,電子零組件業
6136.TW,富爾特,通信網路業
6139.TW,亞翔,其他電子業
6141.TW,柏承,電子零組件業
6142.TW,友勁,通信網路業
6152.TW,百一,通信網路業
6153.TW,嘉聯益,電子零組件業
6155.TW,鈞寶,電子零組件業
6164.TW,華興,光電業
6165.TW,浪凡,數位雲端
6166.TW,凌華,電腦及週邊設備業
6168.TW,宏齊,光電業
6176.TW,瑞儀,光電業
6177.TW,達麗,建材營造業
6183.TW,關貿,資訊服務業
6184.TW,大豐電,其他業
6189.TW,豐藝,電子通路業
6191.TW,精成科,電子零組件業
6192.TW,巨路,其他電子業
6196.TW,帆宣,其他電子業
6197.TW,佳必琪,電子零組件業
6201.TW,亞弘電,其他電子業
6202.TW,盛群,半導體業
6205.TW,詮欣,電子零組件業
6206.TW,飛捷,電腦及週邊設備業
6209.TW,今國光,光電業
6213.TW,聯茂,電子零組件業
6214.TW,精誠,資訊服務業
6215.TW,和椿,其他電子業
6216.TW,居易,通信網路業
6224.TW,聚鼎,電子零組件業
6225.TW,天瀚,光電業
6226.TW,光鼎,光電業
6230.TW,尼得科超眾,電腦及週邊設備業
6235.TW,華孚,電腦及週邊設備業
6239.TW,力成,半導體業
6243.TW,迅杰,半導體業
6257.TW,矽格,半導體業
6269.TW,台郡,電子零組件業
6271.TW,同欣電,半導體業
6277.TW,宏正,電腦及週邊設備業
6278.TW,台表科,光電業
6281.TW,全國電,電子通路業
6282.TW,康舒,電子零組件業
6283.TW,淳安,其他電子業
6285.TW,啟碁,通信網路業
6405.TW,悅城,光電業
6409.TW,旭隼,其他電子業
6412.TW,群電,電子零組件業
6414.TW,樺漢,電腦及週邊設備業
6415.TW,矽力*-KY,半導體業
6416.TW,瑞祺電通,通信網路業
